Settlement Date,Settlement Period,INDO
20170115,11,28276
20170115,12,28293
20170115,13,28934
20170115,14,29327
20170115,15,29981
20170115,16,29776
20170115,17,30761
20170115,18,32541
20170115,19,34784
20170115,20,36304
20170115,21,37710
20170115,22,38584
20170115,23,39922
20170115,24,40391
20170115,25,40277
20170115,26,40188
20170115,27,39976
20170115,28,39958
20170115,29,39954
20170115,30,39917
20170115,31,40705
20170115,32,41530
20170115,33,42397
20170115,34,44756
20170115,35,45726
20170115,36,45494
20170115,37,45288
20170115,38,44674
20170115,39,44108
20170115,40,43014
20170115,41,41933
20170115,42,40545
20170115,43,38620
20170115,44,36523
20170115,45,34617
20170115,46,32898
20170115,47,31151
20170115,48,30035
20170116,1,28050
20170116,2,28333
20170116,3,28224
20170116,4,27577
20170116,5,27156
20170116,6,27051
20170116,7,26651
20170116,8,26142
20170116,9,25885
20170116,10,25914
20170116,11,26779
20170116,12,28334
20170116,13,31877
20170116,14,35410
20170116,15,39614
20170116,16,41926
20170116,17,42907
20170116,18,43103
20170116,19,43965
20170116,20,44343
20170116,21,44183
20170116,22,44421
20170116,23,44606
20170116,24,44643
20170116,25,44766
20170116,26,44591
20170116,27,44799
20170116,28,44633
20170116,29,44505
20170116,30,44407
20170116,31,44259
20170116,32,45034
20170116,33,46289
20170116,34,47760
20170116,35,48299
20170116,36,48012
20170116,37,47746
20170116,38,47504
20170116,39,46840
20170116,40,45475
20170116,41,44125
20170116,42,42547
20170116,43,40362
20170116,44,37916
20170116,45,35692
20170116,46,33503
20170116,47,31207
20170116,48,30089
20170116,1,30052
20170116,2,30825
20170116,3,30947
20170116,4,30597
20170116,5,30170
20170116,6,30054
20170116,7,29630
20170116,8,29109
20170116,9,29365
20170116,10,29539
20170116,11,30018
20170116,12,30928
20170116,13,33713
20170116,14,37193
20170116,15,41820
20170116,16,44337
20170116,17,45271
20170116,18,45479
20170116,19,46071
20170116,20,46470
20170116,21,46434
20170116,22,46689
20170116,23,46731
20170116,24,46799
20170116,25,47159
20170116,26,47054
20170116,27,47335
20170116,28,47189
20170116,29,47257
20170116,30,47183
20170116,31,47250
20170116,32,47767
20170116,33,47483
20170116,34,49130
20170116,35,49767
20170116,36,49536
20170116,37,49272
20170116,38,49055
20170116,39,48440
20170116,40,47100
20170116,41,46608
20170116,42,44843
20170116,43,42480
20170116,44,39865
20170116,45,37479
20170116,46,35221
20170116,47,33677
20170116,48,33585
20170117,1,29863
20170117,2,30312
20170117,3,29995
20170117,4,29325
20170117,5,28905
20170117,6,28722
20170117,7,28386
20170117,8,27854
20170117,9,27575
